,Title,Certificate,Episode_runtime,Genre,IMDb,Star1,Star2,Star3,Star4,Votes,Start_year,End_year,Series_runtime,New_cert
172,Jack Ryan,16+,60,"Drama, Thriller, Action",8.1,John Krasinski,Wendell Pierce,John Hoogenakker,Abbie Cornish,90131,2018,,,16
173,Kaubôi bibappu,NA,24,"Animation, Adventure, Action",8.9,Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,89827,1998,1999.0,2.0,12
174,Oz,NA,55,"Drama, Thriller, Crime",8.7,Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,89044,1997,2003.0,7.0,16
175,Leyla ile Mecnun,NA,80,"Adventure, Drama, Comedy",9.1,Ali Atay,Ahmet Mümtaz Taylan,Serkan Keskin,Osman Sonant,88661,2011,2014.0,4.0,TV-PG
176,The Sinner,18,45,"Mystery, Drama, Crime",7.9,Bill Pullman,Dohn Norwood,Adam LeFevre,Jessica Biel,87656,2017,,,16
177,Batman: The Animated Series,NA,23,"Animation, Adventure, Action",9.0,Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,87651,1992,1995.0,4.0,6
178,The Man in the High Castle,18+,60,"Drama, Thriller, Sci-Fi",8.0,Alexa Davalos,Luke Kleintank,Rufus Sewell,Rupert Evans,87398,2015,2019.0,5.0,18
179,Banshee,18,60,"Drama, Crime, Action",8.4,Antony Starr,Ivana Milicevic,Ulrich Thomsen,Frankie Faison,86987,2013,2016.0,4.0,16
180,Justified,NA,44,"Drama, Crime, Action",8.6,Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,86875,2010,2015.0,6.0,16
181,Making a Murderer,16,60,"Documentary, Crime",8.6,Dolores Avery,Steven Avery,Laura Nirider,Ken Kratz,86831,2015,2018.0,4.0,9
182,Scam 1992: The Harshad Mehta Story,18,54,"Biography, Drama, Crime",9.4,Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,86565,2020,2020.0,1.0,TV-14
183,Killing Eve,15+,42,"Adventure, Drama, Action",8.3,Jodie Comer,Sandra Oh,Fiona Shaw,Kim Bodnia,86441,2018,,,12
184,The Last Kingdom,18+,60,"History, Drama, Action",8.4,Alexander Dreymon,Eliza Butterworth,Ian Hart,Arnas Fedaravicius,85696,2015,,,16
185,Falling Skies,NA,42,"Adventure, Drama, Action",7.2,Noah Wyle,Drew Roy,Maxim Knight,Will Patton,85452,2011,2015.0,5.0,16
186,Psych,13,44,"Mystery, Crime, Comedy",8.3,James Roday Rodriguez,Dulé Hill,Timothy Omundson,Corbin Bernsen,85395,2006,2014.0,9.0,6
187,After Life,18,30,"Drama, Comedy",8.4,Ricky Gervais,Tom Basden,Tony Way,Diane Morgan,85275,2019,,,12
188,Fawlty Towers,NA,30,Comedy,8.7,John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,85077,1975,1979.0,5.0,6
189,The Americans,15+,44,"Mystery, Drama, Crime",8.4,Keri Russell,Matthew Rhys,Keidrich Sellati,Holly Taylor,84480,2013,2018.0,6.0,16
190,Naruto: Shippûden,7,24,"Animation, Adventure, Action",8.6,Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,84330,2007,2017.0,11.0,9
191,The Fall,18,60,"Drama, Thriller, Crime",8.2,Gillian Anderson,Jamie Dornan,John Lynch,Aisling Franciosi,84318,2013,2016.0,4.0,12
192,Stargate SG-1,U,44,"Adventure, Drama, Action",8.4,Richard Dean Anderson,Michael Shanks,Amanda Tapping,Christopher Judge,83840,1997,2007.0,11.0,6
193,The Following,NA,43,"Drama, Crime, Horror",7.4,Kevin Bacon,James Purefoy,Shawn Ashmore,Valorie Curry,83837,2013,2015.0,3.0,16
194,SpongeBob SquarePants,NA,23,"Family, Animation, Comedy",8.2,Tom Kenny,Bill Fagerbakke,Rodger Bumpass,Clancy Brown,83777,1999,,,6
195,Legion,NA,60,"Drama, Action, Sci-Fi",8.2,Dan Stevens,Rachel Keller,Aubrey Plaza,Bill Irwin,82618,2017,2019.0,3.0,16
196,Law & Order: Special Victims Unit,NA,60,"Mystery, Drama, Crime",8.0,Mariska Hargitay,Christopher Meloni,Ice-T,Dann Florek,81738,1999,,,NA
197,The O.C.,18,44,"Romance, Drama, Comedy",7.5,Mischa Barton,Adam Brody,Peter Gallagher,Kelly Rowan,81345,2003,2007.0,5.0,6
198,Revolution,NA,43,"Adventure, Drama, Action",6.7,Billy Burke,Tracy Spiridakos,Giancarlo Esposito,Zak Orth,80918,2012,2014.0,3.0,12
199,The Marvelous Mrs. Maisel,16+,57,"Drama, Comedy",8.7,Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,80775,2017,,,18
200,The Inbetweeners,15+,25,Comedy,8.4,Simon Bird,James Buckley,Blake Harrison,Joe Thomas,80304,2008,2010.0,3.0,12
201,The Leftovers,A,60,"Fantasy, Drama, Mystery",8.3,Justin Theroux,Amy Brenneman,Christopher Eccleston,Liv Tyler,80194,2014,2017.0,4.0,16
202,American Crime Story,18,42,"Biography, Drama, Crime",8.4,Sarah Paulson,Annaleigh Ashford,Sterling K. Brown,Kenneth Choi,80144,2016,,,12
203,Terra Nova,UA,46,"Mystery, Adventure, Drama",6.8,Jason O'Mara,Shelley Conn,Christine Adams,Allison Miller,79989,2011,2011.0,1.0,16
204,Last Week Tonight with John Oliver,NA,30,"Talk-Show, News, Comedy",8.9,John Oliver,David Kaye,Ryan Barger,Noel MacNeal,79473,2014,,,9
205,Chilling Adventures of Sabrina,18,60,"Fantasy, Drama, Horror",7.5,Kiernan Shipka,Ross Lynch,Lucy Davis,Chance Perdomo,77835,2018,2020.0,3.0,16
206,Designated Survivor,16+,60,"Mystery, Drama, Action",7.5,Kiefer Sutherland,Adan Canto,Italia Ricci,Kal Penn,77717,2016,2019.0,4.0,16
207,Ray Donovan,18,60,"Drama, Crime",8.3,Liev Schreiber,Eddie Marsan,Dash Mihok,Pooch Hall,77454,2013,2020.0,8.0,16
208,CSI: Crime Scene Investigation,16,60,"Mystery, Drama, Crime",7.6,Laurence Fishburne,Marg Helgenberger,George Eads,Eric Szmanda,77119,2000,2015.0,16.0,12
209,Adventure Time,NA,11,"Short, Animation, Action",8.6,John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,77029,2010,2018.0,9.0,9
210,The King of Queens,NA,22,Comedy,7.3,Kevin James,Leah Remini,Jerry Stiller,Patton Oswalt,75766,1998,2007.0,10.0,AL
211,Charmed,U,42,"Fantasy, Drama, Mystery",7.1,Holly Marie Combs,Alyssa Milano,Brian Krause,Rose McGowan,75566,1998,2006.0,9.0,6
212,Sacred Games,A,50,"Drama, Crime, Action",8.6,Saif Ali Khan,Nawazuddin Siddiqui,Neeraj Kabi,Elnaaz Norouzi,75517,2018,2019.0,2.0,16
213,The Strain,NA,43,"Fantasy, Drama, Horror",7.3,Corey Stoll,David Bradley,Kevin Durand,Jonathan Hyde,75310,2014,2017.0,4.0,16
214,American Gods,A,60,"Fantasy, Drama, Mystery",7.8,Ricky Whittle,Emily Browning,Yetide Badaki,Bruce Langley,75251,2017,,,16
215,Skins,UA,46,Drama,8.2,Kaya Scodelario,Nicholas Hoult,Joe Dempsie,Hannah Murray,74985,2007,2013.0,7.0,16
216,Louie,NA,22,"Drama, Comedy",8.5,Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,74510,2010,2015.0,6.0,AL
217,Gravity Falls,PG,23,"Animation, Adventure, Comedy",8.9,Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,74188,2012,2016.0,5.0,6
218,Frasier,NA,22,Comedy,8.1,Kelsey Grammer,Jane Leeves,David Hyde Pierce,Peri Gilpin,73865,1993,2004.0,12.0,AL
219,Merlin,16,45,"Fantasy, Adventure, Drama",7.9,John Hurt,Colin Morgan,Bradley James,Richard Wilson,73807,2008,2012.0,5.0,12
220,Star Trek,7,50,"Adventure, Action, Sci-Fi",8.3,William Shatner,Leonard Nimoy,DeForest Kelley,Nichelle Nichols,73798,1966,1969.0,4.0,6
221,Agent Carter,12+,42,"Adventure, Action, Sci-Fi",7.9,Hayley Atwell,James D'Arcy,Enver Gjokaj,Chad Michael Murray,73555,2015,2016.0,2.0,12
222,Lost in Space,7,60,"Adventure, Drama, Family",7.3,Maxwell Jenkins,Molly Parker,Toby Stephens,Taylor Russell,73503,2018,,,12
223,Da Vinci's Demons,NA,59,"Biography, Adventure, Drama",8.0,Tom Riley,Gregg Chillin,Eros Vlahos,Laura Haddock,73435,2013,2015.0,3.0,12
224,The Shield,NA,47,"Drama, Thriller, Crime",8.7,Michael Chiklis,Catherine Dent,Walton Goggins,Michael Jace,72190,2002,2008.0,7.0,12
225,One Tree Hill,13,60,"Romance, Sport, Drama",7.7,Chad Michael Murray,James Lafferty,Hilarie Burton,Bethany Joy Lenz,72029,2003,2012.0,10.0,12
226,The Twilight Zone,NA,51,"Fantasy, Drama, Horror",9.0,Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,71572,1959,1964.0,6.0,TV-PG
227,Naruto,16,24,"Animation, Adventure, Action",8.3,Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,71299,2002,2007.0,6.0,6
228,One Piece: Wan pîsu,7,24,"Animation, Adventure, Action",8.7,Mayumi Tanaka,Tony Beck,Laurent Vernin,Akemi Okamura,70275,1999,,,TV-14
229,Schitt's Creek,18+,22,Comedy,8.5,Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,69726,2015,2020.0,6.0,TV-14
230,Billions,15+,60,Drama,8.4,Paul Giamatti,Damian Lewis,Maggie Siff,David Costabile,69707,2016,,,12
231,The Tudors,18,60,"Romance, Drama, History",8.1,Jonathan Rhys Meyers,Henry Cavill,Anthony Brophy,James Frain,68757,2007,2010.0,4.0,16
232,Dragon Ball Z: Doragon bôru zetto,NA,24,"Animation, Adventure, Action",8.7,Jôji Yanami,Kyle Hebert,Masako Nozawa,Christopher Sabat,68721,1989,1996.0,8.0,6
233,The Good Wife,16,43,"Mystery, Drama, Crime",8.3,Julianna Margulies,Chris Noth,Josh Charles,Matt Czuchry,68316,2009,2016.0,8.0,9
234,Burn Notice,NA,44,"Drama, Crime, Action",7.9,Jeffrey Donovan,Gabrielle Anwar,Bruce Campbell,Sharon Gless,68149,2007,2013.0,7.0,12
235,Preacher,18+,60,"Fantasy, Adventure, Drama",8.0,Dominic Cooper,Joseph Gilgun,Ruth Negga,Ian Colletti,67982,2016,2019.0,4.0,16
236,Monty Python's Flying Circus,NA,30,Comedy,8.8,Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,67637,1969,1974.0,6.0,AL
237,Paranormal,15+,45,"Fantasy, Drama, Horror",8.1,Ahmed Amin,Reem Abd El Kader,Samma Ibrahim,Razane Jammal,67621,2020,,,16
238,Veronica Mars,NA,44,"Mystery, Drama, Crime",8.3,Kristen Bell,Jason Dohring,Enrico Colantoni,Percy Daggs III,67440,2004,2019.0,16.0,12
239,Scandal,NA,43,"Drama, Thriller",7.7,Kerry Washington,Darby Stanchfield,Katie Lowes,Guillermo Díaz,67302,2012,2018.0,7.0,12
240,Russian Doll,A,30,"Adventure, Drama, Comedy",7.9,Natasha Lyonne,Charlie Barnett,Greta Lee,Elizabeth Ashley,67111,2019,,,16
241,Hawaii Five-0,16,42,"Drama, Crime, Action",7.3,Alex O'Loughlin,Scott Caan,Taylor Wily,Daniel Dae Kim,66917,2010,2020.0,11.0,12
242,Titans,A,45,"Adventure, Crime, Action",7.7,Brenton Thwaites,Teagan Croft,Anna Diop,Ryan Potter,66812,2018,,,16
243,Blindspot,16,42,"Drama, Crime, Action",7.4,Sullivan Stapleton,Jaimie Alexander,Audrey Esparza,Ashley Johnson,66693,2015,2020.0,6.0,16
244,Master of None,16,30,"Drama, Comedy",8.3,Aziz Ansari,Eric Wareheim,Lena Waithe,Noël Wells,66241,2015,2017.0,3.0,12
245,Bob's Burgers,U,22,"Animation, Comedy",8.1,H. Jon Benjamin,Dan Mintz,Eugene Mirman,John Roberts,65840,2011,,,AL
246,Monk,NA,44,"Drama, Crime, Comedy",8.0,Tony Shalhoub,Jason Gray-Stanford,Ted Levine,Traylor Howard,65536,2002,2009.0,8.0,12
247,Girls,18,28,"Drama, Comedy",7.3,Lena Dunham,Allison Williams,Jemima Kirke,Adam Driver,65415,2012,2017.0,6.0,16
248,Euphoria,18+,55,Drama,8.4,Zendaya,Hunter Schafer,Jacob Elordi,Maude Apatow,65173,2019,,,16
249,The West Wing,NA,44,Drama,8.8,Martin Sheen,Rob Lowe,Allison Janney,John Spencer,64977,1999,2006.0,8.0,AL
250,Marco Polo,18,60,"Adventure, Drama, History",8.0,Lorenzo Richelmy,Benedict Wong,Joan Chen,Remy Hii,64780,2014,2016.0,3.0,16
251,Ash vs Evil Dead,NA,30,"Fantasy, Comedy, Action",8.4,Bruce Campbell,Ray Santiago,Dana DeLorenzo,Lucy Lawless,64769,2015,2018.0,4.0,16
252,Angel,NA,44,"Fantasy, Drama, Action",7.9,David Boreanaz,Charisma Carpenter,Alexis Denisof,J. August Richards,64650,1999,2004.0,6.0,12
253,Everybody Loves Raymond,NA,22,Comedy,7.1,Ray Romano,Patricia Heaton,Brad Garrett,Doris Roberts,64042,1996,,,AL
254,The Grand Tour,16,60,"Talk-Show, Comedy",8.7,Jeremy Clarkson,James May,Richard Hammond,Abbie Eaton,63922,2016,,,16
255,Star Wars: The Clone Wars,PG,23,"Animation, Adventure, Action",8.3,Tom Kane,Dee Bradley Baker,Matt Lanter,James Arnold Taylor,63880,2008,2020.0,13.0,6
256,Unbreakable Kimmy Schmidt,18,30,Comedy,7.6,Ellie Kemper,Jane Krakowski,Tituss Burgess,Carol Kane,63590,2015,2019.0,5.0,12
257,The Good Doctor,15+,41,Drama,8.2,Freddie Highmore,Antonia Thomas,Hill Harper,Richard Schiff,63145,2017,,,12
258,Hagane no renkinjutsushi,16,24,"Animation, Adventure, Action",8.5,Vic Mignogna,Aaron Dismuke,Romi Pak,Rie Kugimiya,62353,2003,2004.0,2.0,12
259,The Outsider,15+,60,"Fantasy, Drama, Crime",7.8,Ben Mendelsohn,Bill Camp,Jeremy Bobb,Mare Winningham,62162,2020,,,16
260,Limitless,18,42,"Drama, Crime, Comedy",7.7,Jake McDorman,Jennifer Carpenter,Hill Harper,Mary Elizabeth Mastrantonio,61999,2015,2016.0,2.0,TV-14
261,Stargate: Atlantis,NA,44,"Adventure, Drama, Action",8.1,Joe Flanigan,Rachel Luttrell,David Hewlett,Jason Momoa,61228,2004,2009.0,6.0,12
262,Bridgerton,18,60,"Romance, Drama",7.3,Phoebe Dynevor,Regé-Jean Page,Nicola Coughlan,Jonathan Bailey,61224,2020,,,16
263,Narcos: Mexico,18+,50,"Drama, Crime",8.4,Scoot McNairy,Diego Luna,José María Yazpik,Fermín Martínez,60913,2018,,,16
264,Atypical,18,30,"Drama, Comedy",8.3,Jennifer Jason Leigh,Keir Gilchrist,Brigette Lundy-Paine,Michael Rapaport,60545,2017,2021.0,5.0,6
265,iZombie,18,42,"Drama, Crime, Comedy",7.8,Rose McIver,Malcolm Goodwin,Rahul Kohli,Robert Buckley,60535,2015,2019.0,5.0,16
266,Star Trek: Voyager,NA,44,"Adventure, Action, Sci-Fi",7.8,Kate Mulgrew,Robert Beltran,Roxann Dawson,Robert Duncan McNeill,59620,1995,2001.0,7.0,6
267,The Orville,12+,44,"Adventure, Drama, Comedy",8.0,Seth MacFarlane,Adrianne Palicki,Penny Johnson Jerald,Scott Grimes,59184,2017,,,12
268,Flashforward,NA,42,"Mystery, Drama, Sci-Fi",7.6,Courtney B. Vance,Joseph Fiennes,Jack Davenport,Zachary Knighton,59021,2009,2010.0,2.0,12
269,Bron/Broen,NA,60,"Mystery, Thriller, Crime",8.6,Sofia Helin,Rafael Pettersson,Sarah Boberg,Dag Malmberg,58826,2011,2018.0,8.0,16
270,Hunter x Hunter,16,24,"Animation, Adventure, Action",8.9,Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,57950,2011,2014.0,4.0,TV-14
271,Continuum,NA,45,"Thriller, Action, Sci-Fi",7.6,Rachel Nichols,Victor Webster,Erik Knudsen,Stephen Lobo,57836,2012,2015.0,4.0,12
272,Big Mouth,18+,30,"Romance, Animation, Comedy",8.0,Nick Kroll,John Mulaney,Jessi Klein,Jason Mantzoukas,57512,2017,,,16
273,Sleepy Hollow,NA,45,"Adventure, Crime, Action",7.4,Tom Mison,Lyndie Greenwood,Nicole Beharie,Orlando Jones,57426,2013,2017.0,5.0,16
274,Santa Clarita Diet,18,30,"Horror, Comedy",7.8,Drew Barrymore,Timothy Olyphant,Liv Hewson,Skyler Gisondo,57425,2017,2019.0,3.0,16
275,Terminator: The Sarah Connor Chronicles,NA,60,"Fantasy, Drama, Action",7.7,Lena Headey,Thomas Dekker,Summer Glau,Richard T. Jones,57311,2008,2009.0,2.0,12
276,Twin Peaks,NA,60,"Fantasy, Drama, Crime",8.5,Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,57278,2017,2017.0,1.0,16
277,Quantico,18,42,"Mystery, Drama, Crime",6.7,Priyanka Chopra,Jake McLaughlin,Johanna Braddy,Aunjanue Ellis,57230,2015,2018.0,4.0,12
278,Friday Night Lights,NA,44,"Sport, Drama",8.6,Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,56165,2006,2011.0,6.0,6
279,Dead to Me,18,30,"Drama, Comedy",8.0,Christina Applegate,Linda Cardellini,Sam McCarthy,Luke Roessler,55737,2019,,,12
280,Flight of the Conchords,NA,28,"Musical, Comedy, Music",8.5,Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,55256,2007,2009.0,3.0,TV-MA
281,Chappelle's Show,NA,22,"Comedy, Music",8.8,Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,54457,2003,2006.0,4.0,12
282,Black Books,NA,25,Comedy,8.5,Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,54447,2000,2004.0,5.0,12
283,The Last Ship,16,60,"Drama, Action, Sci-Fi",7.5,Eric Dane,Adam Baldwin,Charles Parnell,Travis Van Winkle,54425,2014,2018.0,5.0,12
284,The Shannara Chronicles,18,42,"Fantasy, Adventure, Sci-Fi",7.2,Austin Butler,Ivana Baquero,Manu Bennett,Aaron Jakubenko,54373,2016,2017.0,2.0,16
285,A Series of Unfortunate Events,7,50,"Adventure, Drama, Comedy",7.8,Neil Patrick Harris,Patrick Warburton,Malina Weissman,Louis Hynes,53947,2017,2019.0,3.0,9
286,Jericho,NA,45,"Mystery, Drama, Action",7.9,Skeet Ulrich,Lennie James,Ashley Scott,Kenneth Mitchell,53920,2006,2008.0,3.0,12
287,Pushing Daisies,NA,44,"Fantasy, Drama, Comedy",8.3,Lee Pace,Anna Friel,Chi McBride,Jim Dale,53643,2007,2009.0,3.0,6
288,Shadowhunters: The Mortal Instruments,18,42,"Fantasy, Drama, Action",6.6,Katherine McNamara,Dominic Sherwood,Alberto Rosende,Matthew Daddario,53464,2016,2019.0,4.0,12
289,Peep Show,NA,25,Comedy,8.6,David Mitchell,Robert Webb,Matt King,Olivia Colman,53422,2003,2015.0,13.0,16
290,CSI: Miami,NA,43,"Drama, Crime, Action",6.4,David Caruso,Emily Procter,Adam Rodriguez,Rex Linn,53375,2002,2012.0,11.0,12
291,Dragon Ball,NA,24,"Animation, Adventure, Action",8.5,Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,53339,1995,2003.0,9.0,MG6
292,Tandav,18,30,"Drama, Thriller",4.2,Saif Ali Khan,Dimple Kapadia,Mohd. Zeeshan Ayyub,Sunil Grover,53320,2021,,,TV-14
293,Star Trek: Deep Space Nine,NA,45,"Adventure, Drama, Action",8.0,Avery Brooks,Rene Auberjonois,Cirroc Lofton,Alexander Siddig,53284,1993,1999.0,7.0,6
294,V,NA,42,"Drama, Thriller, Sci-Fi",6.8,Elizabeth Mitchell,Morris Chestnut,Joel Gretsch,Logan Huffman,53222,2009,2011.0,3.0,NA
295,Extras,NA,30,"Drama, Comedy",8.3,Ricky Gervais,Ashley Jensen,Stephen Merchant,Shaun Williamson,53177,2005,2007.0,3.0,6
296,Forever,NA,43,"Fantasy, Drama, Crime",8.3,Ioan Gruffudd,Alana De La Garza,Joel David Moore,Donnie Keshawarz,53153,2014,2015.0,2.0,12
297,Full House,U,22,"Family, Drama, Comedy",6.7,Bob Saget,John Stamos,Dave Coulier,Candace Cameron Bure,53020,1987,1995.0,9.0,AL
298,The Last Man on Earth,NA,22,"Comedy, Drama, Action",7.3,Will Forte,January Jones,Cleopatra Coleman,Kristen Schaal,52940,2015,2018.0,4.0,6
299,Nip/Tuck,NA,44,Drama,7.6,Dylan Walsh,Julian McMahon,Joely Richardson,John Hensley,52929,2003,2010.0,8.0,12
300,The Morning Show,15+,60,Drama,8.4,Jennifer Aniston,Reese Witherspoon,Billy Crudup,Mark Duplass,52199,2019,,,12
301,His Dark Materials,12+,60,"Adventure, Drama, Family",7.9,Dafne Keen,Amir Wilson,Kit Connor,Ruth Wilson,52096,2019,,,12
302,Atlanta,NA,30,"Drama, Comedy, Music",8.6,Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,52064,2016,,,16
303,Wayward Pines,NA,60,"Mystery, Drama, Sci-Fi",7.4,Siobhan Fallon Hogan,Toby Jones,Shannyn Sossamon,Hope Davis,52009,2015,2016.0,2.0,TV-14
304,Manhunt,18,60,"Biography, Drama, Crime",8.1,Gethin Anthony,Arliss Howard,Kelly Jenrette,Cameron Britton,51652,2017,,,12
305,Eastbound & Down,NA,28,"Sport, Drama, Comedy",8.2,Danny McBride,Steve Little,Katy Mixon,Elizabeth De Razzo,51552,2009,2013.0,5.0,16
306,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,16,24,"Animation, Drama, Action",8.6,Johnny Yong Bosch,Yuri Lowenthal,Jun Fukuyama,Takahiro Sakurai,51028,2006,2012.0,7.0,12
307,Will & Grace,NA,22,"Romance, Comedy",7.2,Eric McCormack,Debra Messing,Megan Mullally,Sean Hayes,50968,1998,2020.0,23.0,NA
308,Mirzapur,18+,60,"Drama, Crime, Action",8.4,Pankaj Tripathi,Ali Fazal,Divyendu Sharma,Shweta Tripathi,50953,2018,,,16
309,Shin seiki evangerion,U,24,"Animation, Drama, Action",8.5,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,50922,1995,1996.0,2.0,TV-MA
310,ER,NA,44,"Romance, Drama",7.7,Anthony Edwards,George Clooney,Julianna Margulies,Eriq La Salle,50808,1994,2009.0,16.0,12
311,Spaced,NA,25,"Comedy, Action",8.6,Jessica Hynes,Simon Pegg,Julia Deakin,Nick Frost,50641,1999,2001.0,3.0,12
312,M*A*S*H,NA,25,"Drama, Comedy, War",8.4,Alan Alda,Wayne Rogers,Loretta Swit,Jamie Farr,50304,1972,1983.0,12.0,12
313,MythBusters,NA,44,"Reality-TV, Mystery, Documentary",8.3,Robert Lee,Jamie Hyneman,Adam Savage,Kari Byron,50211,2003,,,AL
314,Constantine,16,43,"Fantasy, Drama, Horror",7.5,Matt Ryan,Harold Perrineau,Charles Halford,Angélica Celaya,49035,2014,2015.0,2.0,16
315,Blue Mountain State,NA,22,"Sport, Comedy",8.3,Darin Brooks,Alan Ritchson,Chris Romano,Ed Marinaro,48809,2010,2011.0,2.0,16
316,Nikita,18,60,"Drama, Crime, Action",7.7,Maggie Q,Shane West,Lyndsy Fonseca,Aaron Stanford,48734,2010,2013.0,4.0,12
317,NCIS: Los Angeles,NA,43,"Drama, Crime, Action",6.7,Chris O'Donnell,Daniela Ruah,Barrett Foa,Linda Hunt,48733,2009,,,12
318,Blackadder Goes Forth,NA,175,"Comedy, War",8.8,Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,48590,1989,1989.0,1.0,TV-PG
319,Élite,18+,60,"Drama, Thriller, Crime",7.6,Itzan Escamilla,Miguel Bernardeau,Arón Piper,Omar Ayuso,48545,2018,,,16
320,The Borgias,NA,50,"Drama, Crime, History",7.9,Jeremy Irons,François Arnaud,Holliday Grainger,Peter Sullivan,48244,2011,2013.0,3.0,16
321,Eureka,NA,60,"Adventure, Drama, Comedy",7.9,Colin Ferguson,Salli Richardson-Whitfield,Erica Cerra,Neil Grayston,48211,2006,2012.0,7.0,TV-14
322,Cheers,NA,22,"Drama, Comedy",7.8,Ted Danson,Rhea Perlman,John Ratzenberger,George Wendt,48175,1982,1993.0,12.0,AL
323,Dragon Ball: Doragon bôru,U,24,"Animation, Adventure, Action",8.5,Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,48069,1986,1989.0,4.0,TV-14
324,Hell on Wheels,NA,42,"Drama, Western",8.3,Anson Mount,Colm Meaney,Robin McLeavy,Phil Burke,47904,2011,2016.0,6.0,16
325,Almost Human,NA,60,"Drama, Crime, Action",8.0,Karl Urban,Michael Ealy,Minka Kelly,Mackenzie Crook,47842,2013,2014.0,2.0,TV-14
326,SGU Stargate Universe,NA,43,"Drama, Sci-Fi",7.6,Robert Carlyle,Louis Ferreira,Brian J. Smith,Elyse Levesque,47617,2009,2011.0,3.0,TV-PG
327,Disenchantment,18+,30,"Animation, Adventure, Action",7.2,Abbi Jacobson,Eric André,Nat Faxon,John DiMaggio,47139,2018,,,12
328,3rd Rock from the Sun,NA,60,"Family, Comedy, Sci-Fi",7.7,John Lithgow,Jane Curtin,Kristen Johnston,French Stewart,47111,1996,2001.0,6.0,6
329,Warehouse 13,NA,43,"Mystery, Drama, Sci-Fi",7.6,Eddie McClintock,Joanne Kelly,Saul Rubinek,Allison Scagliotti,47098,2009,2014.0,6.0,12
330,Raised by Wolves,NA,TV-MATV-MA,"Fantasy, Drama, Sci-Fi",7.6,Travis Fimmel,Amanda Collin,Abubakar Salim,Winta McGrath,47063,2020,,,TV-MA
331,Scorpion,13,43,"Drama, Crime, Action",7.1,Elyes Gabel,Katharine McPhee,Eddie Kaye Thomas,Jadyn Wong,46872,2014,2018.0,5.0,12
332,Bosch,18,51,"Drama, Crime",8.4,Titus Welliver,Jamie Hector,Amy Aquino,Lance Reddick,46648,2014,,,18
333,Succession,15+,60,Drama,8.6,Sarah Snook,Jeremy Strong,Nicholas Braun,Brian Cox,46577,2018,,,12
334,Enterprise,NA,60,"Adventure, Drama, Action",7.5,Scott Bakula,John Billingsley,Jolene Blalock,Dominic Keating,46408,2001,2005.0,5.0,6
335,Dollhouse,NA,44,"Mystery, Drama, Sci-Fi",7.7,Eliza Dushku,Harry Lennix,Fran Kranz,Tahmoh Penikett,46404,2009,2010.0,2.0,12
336,Only Fools and Horses....,NA,95,Comedy,8.9,David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,46351,1981,2003.0,23.0,AL
337,Carnival Row,18+,56,"Fantasy, Drama, Crime",7.9,Orlando Bloom,Cara Delevingne,Simon McBurney,Tamzin Merchant,46331,2019,,,16
338,Hart of Dixie,NA,60,"Romance, Drama, Comedy",7.7,Rachel Bilson,Jaime King,Cress Williams,Wilson Bethel,46330,2011,2015.0,5.0,9
339,Workaholics,NA,22,Comedy,8.1,Blake Anderson,Adam Devine,Anders Holm,Maribeth Monroe,46107,2011,2017.0,7.0,12
340,Samurai Jack,NA,25,"Animation, Adventure, Action",8.5,Phil LaMarr,Mako,Kevin Michael Richardson,Jeff Bennett,45953,2001,2017.0,17.0,6
341,Travelers,18,45,"Mystery, Drama, Sci-Fi",8.1,Eric McCormack,MacKenzie Porter,Nesta Cooper,Jared Abrahamson,45933,2016,2018.0,3.0,16
